person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,is_high_income,is_large_loan,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y,default_probability,loan_status
0.06666666666666665,0.011691976356662264,0.2,0.27113702623906705,0.27808988764044945,0.36,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.06875644031041979,0
0.11666666666666665,0.0293773187448909,0.0,0.27113702623906705,0.553370786516854,0.16,0.2857142857142857,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.12186707776555972,0
0.09999999999999999,0.033307394831163926,0.3333333333333333,0.4460641399416909,0.3151685393258427,0.22,0.03571428571428571,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.17340442632562528,0
0.049999999999999996,0.011690011318619126,0.23333333333333334,0.27113702623906705,0.3151685393258427,0.36,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.9651583305821504,1
0.16666666666666666,0.019797758284600387,0.06666666666666667,0.358600583090379,0.6123595505617978,0.29,0.14285714285714285,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.7271828259477569,1
0.08333333333333333,0.028886059234106767,0.06666666666666667,0.5626822157434401,0.2567415730337079,0.32,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.16974970804109601,0
0.09999999999999999,0.011215945890712441,0.06666666666666667,0.15451895043731778,0.2567415730337079,0.22,0.07142857142857142,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.02431123391786298,0
0.16666666666666666,0.017587090486071807,0.26666666666666666,0.052478134110787195,0.020786516853932624,0.06,0.2857142857142857,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.03096309899280076,0
0.09999999999999999,0.042150066025278245,0.06666666666666667,0.2594752186588921,0.4735955056179776,0.11,0.07142857142857142,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.052774684734772474,0
0.25,0.018193795981890207,0.23333333333333334,0.06705539358600585,0.09662921348314607,0.07,0.24999999999999997,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.033546455468116916,0
